"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed May 21 18:38:02 GMT 2025","Wed May 21 18:38:03 GMT 2025","631","POST - Validar endpoint cards/","","","","","Validar schema response da requisição cadastro de card",""
"broken","Wed May 21 18:37:57 GMT 2025","Wed May 21 18:37:57 GMT 2025","253","POST - Validar endpoint boards/","","","","","Validar schema response da requisição cadastro de boards",""
"failed","Wed May 21 18:37:54 GMT 2025","Wed May 21 18:37:55 GMT 2025","543","DELETE - Validar endpoint boards/","","","","","Validar a exclusão do board com sucesso",""
"failed","Wed May 21 18:37:57 GMT 2025","Wed May 21 18:37:57 GMT 2025","267","POST - Validar endpoint boards/","","","","","Validar criação do board com sucesso",""
"failed","Wed May 21 18:37:59 GMT 2025","Wed May 21 18:38:00 GMT 2025","319","DELETE - Validar endpoint cards/","","","","","Validar a exclusão do card com id inválido",""
"failed","Wed May 21 18:38:01 GMT 2025","Wed May 21 18:38:02 GMT 2025","760","POST - Validar endpoint cards/","","","","","Validar criação de card com sucesso",""
"failed","Wed May 21 18:37:55 GMT 2025","Wed May 21 18:37:55 GMT 2025","246","DELETE - Validar endpoint boards/","","","","","Validar a exclusão do board com id inválido",""
"failed","Wed May 21 18:37:59 GMT 2025","Wed May 21 18:37:59 GMT 2025","779","DELETE - Validar endpoint cards/","","","","","Validar a exclusão do card com sucesso",""
